name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Job Kenyon Lot,United States,Rhode Island,Kent County,Escoheag,Escoheag,,41.568155,-71.741735,,,,human,true,
Joseph Burdick Lot,United States,Rhode Island,Washington County,Burdickville,Burdickville,,41.417419,-71.732583,,,,human,true,
Larkin Lot,United States,Rhode Island,Washington County,Moscow,Moscow,,41.5355095,-71.7448491,,,,human,true,
Lawton Foster Lot,United States,Rhode Island,Washington County,Hopkinton,Hopkinton,,41.4775994,-71.759235,,,,human,true,
Lewis Lot,United States,Rhode Island,Washington County,Austin,Austin,,41.5886623,-71.664539,,,,human,true,
Lewis-Himes-Tillinghast Lot,United States,Rhode Island,Washington County,Lewis City,Lewis City,,41.5925194,-71.6913128,,,,human,true,
Lillibridge Burial Ground,United States,Rhode Island,Washington County,Pine Hill,Pine Hill,,41.591489,-71.6364535,,,,human,true,
Lillibridge Lot,United States,Rhode Island,Washington County,Lewis City,Lewis City,,41.5956552,-71.7045116,,,,human,true,
Lock Cemetery,United States,Rhode Island,Kent County,Escoheag,Escoheag,,41.5779622,-71.7731207,,,,human,true,
Lockwood Lot,United States,Rhode Island,Washington County,Pine Hill,Pine Hill,,41.5706558,-71.6233974,,,,human,true,
Mary Lewis Lot,United States,Rhode Island,Washington County,Hopkinton,Hopkinton,,41.4498217,-71.7786796,,,,human,true,
Murre Lot,United States,Rhode Island,Washington County,Canonchet,Canonchet,,41.483155,-71.7575685,,,,human,true,
Nathan Kinyon Lot,United States,Rhode Island,Washington County,Woodville,Woodville,,41.4486684,-71.7270043,,,,human,true,
Nathaniel Hall Lot,United States,Rhode Island,Washington County,Rockville,Rockville,,41.5164334,-71.7606621,,,,human,true,
Oatley Lot,United States,Rhode Island,Washington County,Hopkinton,Hopkinton,,41.4759326,-71.7875692,,,,human,true,
Palmer Family Lot,United States,Rhode Island,Washington County,Canonchet,Canonchet,,41.477044,-71.7286784,,,,human,true,
Perkins Lot,United States,Rhode Island,Washington County,Black Plain,Black Plain,,41.5731556,-71.6536763,,,,human,true,
Perkins Lot,United States,Rhode Island,Kent County,Escoheag,Escoheag,,41.591439,-71.7713557,,,,human,true,
Peter Davis Lot,United States,Rhode Island,Washington County,Ashaway,Ashaway,,41.4370033,-71.7660577,,,,human,true,
Potter Lot,United States,Rhode Island,Washington County,Liberty,Liberty,,41.5203786,-71.5622839,,,,human,true,
Potter Lot,United States,Rhode Island,Washington County,West Kingston,West Kingston,,41.5152172,-71.5467802,,,,human,true,
Preacher Smart Burial Yard,United States,Rhode Island,Washington County,Gardners Corner,Gardners Corner,,41.5444404,-71.5366064,,,,human,true,
Reverend Solomon Sprague Lot,United States,Rhode Island,Washington County,Liberty,Liberty,,41.5467673,-71.5820069,,,,human,true,
Reynolds Lot,United States,Rhode Island,Washington County,Exeter,Exeter,,41.5752947,-71.5501161,,,,human,true,
Richmond Family Lot,United States,Rhode Island,Kent County,Escoheag,Escoheag,,41.5717661,-71.7411795,,,,human,true,
Richmond Lot,United States,Rhode Island,Kent County,Escoheag,Escoheag,,41.5861105,-71.7662259,,,,human,true,
Robert Browning Lot,United States,Rhode Island,Washington County,Hope Valley,Hope Valley,,41.5133702,-71.7291947,,,,human,true,
Rose Cemetery,United States,Rhode Island,Washington County,Mooresfield,Mooresfield,,41.5017691,-71.5065536,,,,human,true,
Rose Lot,United States,Rhode Island,Washington County,Fisherville,Fisherville,,41.5906844,-71.5604401,,,,human,true,
Sarah Larkin Lot,United States,Rhode Island,Washington County,Hopkinton,Hopkinton,,41.4639882,-71.7870134,,,,human,true,
Sheldon Lot,United States,Rhode Island,Washington County,Millville,Millville,,41.5934331,-71.680344,,,,human,true,
Sherman Burial Ground,United States,Rhode Island,Washington County,Liberty,Liberty,,41.545934,-71.5600617,,,,human,true,
Sherman Cemetery,United States,Rhode Island,Washington County,Congdon Hill (historical),Congdon Hill (historical),,41.5099936,-71.4939702,,,,human,true,
Sherman Cemetery,United States,Rhode Island,Washington County,Mooresfield,Mooresfield,,41.5011803,-71.5057327,,,,human,true,
Sherman Lot,United States,Rhode Island,Washington County,Slocum,Slocum,,41.5142679,-71.5139487,,,,human,true,
Sherman-Shearman Cemetery,United States,Rhode Island,Washington County,Congdon Hill (historical),Congdon Hill (historical),,41.5166003,-71.4967581,,,,human,true,
Straight Lot,United States,Rhode Island,Washington County,Austin,Austin,,41.593377,-71.6574484,,,,human,true,
Sweet Lot,United States,Rhode Island,Washington County,Slocum,Slocum,,41.5398233,-71.5192268,,,,human,true,
Sweet-Austin Cemetery,United States,Rhode Island,Washington County,Congdon Hill (historical),Congdon Hill (historical),,41.5202119,-71.4712171,,http://rihistoriccemeteries.org/newsearchcemeterydetail.aspx?ceme_no=NK086,,human,true,
Sweet-Tripp Lot,United States,Rhode Island,Washington County,Gardners Corner,Gardners Corner,,41.5443915,-71.5377778,,,,human,true,
Taylor Cemetery,United States,Rhode Island,Washington County,Shady Lea,Shady Lea,,41.5370833,-71.4700217,,,,human,true,
Tennabt Cemetery,United States,Rhode Island,Washington County,Wickford,Wickford,,41.5709346,-71.4578354,,,,human,true,
Thomas Cemetery,United States,Rhode Island,Washington County,Lafayette,Lafayette,,41.5581855,-71.4874091,,,,human,true,
Thomas Wilbur Lot,United States,Rhode Island,Washington County,Ashaway,Ashaway,,41.429544,-71.7761792,,,,human,true,
Thomas Wilcox Lot,United States,Rhode Island,Washington County,Lewis City,Lewis City,,41.5864885,-71.7039559,,,,human,true,
Thompson Wells Lot,United States,Rhode Island,Washington County,Bethel,Bethel,,41.4375995,-71.787013,,,,human,true,
Tillinghast Lot,United States,Rhode Island,Washington County,Pine Hill,Pine Hill,,41.5815674,-71.6043572,,,,human,true,
Tripp Family Lott,United States,Rhode Island,Washington County,Tripps Corner,Tripps Corner,,41.5453783,-71.5947852,,,,human,true,
Watson Cemetery,United States,Rhode Island,Washington County,Slocum,Slocum,,41.530379,-71.4978371,,,,human,true,
Welling Cemetery,United States,Rhode Island,Kent County,Potowomut,Potowomut,,41.6523234,-71.4178337,,,,human,true,
Wells Lot,United States,Rhode Island,Washington County,Bethel,Bethel,,41.4431777,-71.7885239,,,,human,true,
Whitford Lot,United States,Rhode Island,Washington County,Pine Hill,Pine Hill,,41.5776003,-71.6033967,,,,human,true,
Wilbur Lot,United States,Rhode Island,Washington County,Hopkinton,Hopkinton,,41.4492663,-71.7514565,,,,human,true,
Wilcox Lot,United States,Rhode Island,Washington County,Tripps Corner,Tripps Corner,,41.5403858,-71.5876493,,,,human,true,
Wilcox-Durfee Lot,United States,Rhode Island,Washington County,Glen Rock,Glen Rock,,41.5279705,-71.5926637,,,,human,true,
Willcox Lot,United States,Rhode Island,Washington County,Tripps Corner,Tripps Corner,,41.5409338,-71.595063,,,,human,true,
Willcox-Tate Lot,United States,Rhode Island,Washington County,Millville,Millville,,41.5912109,-71.6797884,,,,human,true,
Witter Lot,United States,Rhode Island,Washington County,South Hopkinton,South Hopkinton,,41.4378775,-71.7522897,,,,human,true,
Worden Lot,United States,Rhode Island,Washington County,Canonchet,Canonchet,,41.4789885,-71.7370121,,,,human,true,
