name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Galloway Cemetery,United States,Oregon,Union County,Elgin,Elgin,,45.5919835,-117.9322499,,,,human,true,
Wallowa Cemetery,United States,Oregon,Wallowa County,Wallowa,Wallowa,,45.5708371,-117.5005676,,,,human,true,
Paradise Cemetery,United States,Oregon,Wallowa County,Paradise,Paradise,,45.9549882,-117.2380524,,,,human,true,
Milton-Freewater cemetery,United States,Oregon,Umatilla County,Milton-Freewater,Milton-Freewater,,45.9321511,-118.3746142,,,,human,true,
St. Francis De Sales Historic Cemetery,United States,Oregon,Baker County,Estes (historical),Estes (historical),,44.7895882,-117.8340029,,,,human,true,
Sturdivant Cemetery,United States,Oregon,Umatilla County,Ukiah,Ukiah,,45.168489,-118.9669487,,,,human,true,
Meacham Cemetery,United States,Oregon,Umatilla County,Meacham,Meacham,,45.5096386,-118.4210635,,,,human,true,
Tutuilla Presbyterian Indian Mission Cemetery,United States,Oregon,Umatilla County,Tutuilla,Tutuilla,,45.6296509,-118.7165936,,,,human,true,
Calvary Cemetery,United States,Oregon,Union County,La Grande,La Grande,,45.3158081,-118.0849858,,,,human,true,
Grandview Cemetery,United States,Oregon,Union County,La Grande,La Grande,,45.3054104,-118.0736996,,,,human,true,
North Powder Cemetery,United States,Oregon,Union County,North Powder,North Powder,,45.0340521,-117.9113449,,,,human,true,
Summerville-Imbler Cemetery,United States,Oregon,Union County,Summerville,Summerville,,45.474502,-117.9892132,,,,human,true,
Old Chief Joseph Gravesite,United States,Oregon,Wallowa County,Joseph,Joseph,,45.3363734,-117.2222295,,,,human,true,
Island City Cemetery,United States,Oregon,Union County,Island City,Island City,,45.3293382,-118.0439968,,,,human,true,
Hillcrest Cemetery,United States,Oregon,Union County,La Grande,La Grande,,45.3171949,-118.0876372,,,,human,true,
Ackles Cemetery,United States,Oregon,Union County,Island City,Island City,,45.370728,-118.0622805,,,,human,true,
Ukiah Cemetery,United States,Oregon,Umatilla County,Ukiah,Ukiah,,45.1417397,-118.9311709,,,,human,true,
Malheur City Cemetery,United States,Oregon,Malheur County,Malheur City (historical),Malheur City (historical),,44.4123343,-117.721767,,https://www.findagrave.com/cemetery/39078/malheur-city-cemetery,,human,true,
Bridgeport Cemetery,United States,OR,Baker County,Bridgeport,Bridgeport,,44.4911756,-117.7464917,,,,human,true,
Pleasant Valley Cemetery,United States,OR,Baker County,Pleasant Valley,Pleasant Valley,,44.6525409,-117.6660189,,,,human,true,
German Cemetery,United States,Oregon,Umatilla County,Fulton,Fulton,,45.7915539,-118.7141189,,,,human,true,
Finland Cemetery,United States,Oregon,Umatilla County,Helix,Helix,,45.7833229,-118.6643611,,,,human,true,
Saint Andrews Mission Cemetery,United States,Oregon,Umatilla County,Kirkpatrick,Kirkpatrick,,45.6351183,-118.6253417,,,,human,true,
Red Elk Cemetery,United States,Oregon,Umatilla County,Gibbon,Gibbon,,45.6798314,-118.4337354,,,,human,true,
Key Cemetery,United States,Oregon,Umatilla County,Weston,Weston,,45.7969688,-118.4459607,,,,human,true,
Athena Cemetery,United States,Oregon,Umatilla County,Athena,Athena,,45.8187224,-118.5050527,,,,human,true,
Willow Creek Cemetery,United States,Oregon,Grant County,Range,Range,,44.8434503,-118.9918527,,,,human,true,
